No.,Name,Unit,Time_ms,Conversion
1,Longitudinal delta-v,km/h,0,E=N-127
2,Longitudinal delta-v,km/h,10,E=N-127
3,Longitudinal delta-v,km/h,20,E=N-127
4,Longitudinal delta-v,km/h,30,E=N-127
5,Longitudinal delta-v,km/h,40,E=N-127
6,Longitudinal delta-v,km/h,50,E=N-127
7,Longitudinal delta-v,km/h,60,E=N-127
8,Longitudinal delta-v,km/h,70,E=N-127
9,Longitudinal delta-v,km/h,80,E=N-127
10,Longitudinal delta-v,km/h,90,E=N-127
11,Longitudinal delta-v,km/h,100,E=N-127
12,Longitudinal delta-v,km/h,110,E=N-127
13,Longitudinal delta-v,km/h,120,E=N-127
14,Longitudinal delta-v,km/h,130,E=N-127
15,Longitudinal delta-v,km/h,140,E=N-127
16,Longitudinal delta-v,km/h,150,E=N-127
17,Longitudinal delta-v,km/h,160,E=N-127
18,Longitudinal delta-v,km/h,170,E=N-127
19,Longitudinal delta-v,km/h,180,E=N-127
20,Longitudinal delta-v,km/h,190,E=N-127
21,Longitudinal delta-v,km/h,200,E=N-127
22,Longitudinal delta-v,km/h,210,E=N-127
23,Longitudinal delta-v,km/h,220,E=N-127
24,Longitudinal delta-v,km/h,230,E=N-127
25,Longitudinal delta-v,km/h,240,E=N-127
26,Longitudinal delta-v,km/h,250,E=N-127
27,Maximum longitudinal delta-v,km/h,N/A,E=N-127
28,Time to reach maximum longitudinal delta-v,ms,N/A,E=N*2.5
29,Time to clip longitudinal acceleration,ms,N/A,E=N
30,Time to clip lateral acceleration,ms,N/A,E=N
31,Vehicle speed,km/h,-5000,E=N
32,Vehicle speed,km/h,-4500,E=N
33,Vehicle speed,km/h,-4000,E=N
34,Vehicle speed,km/h,-3500,E=N
35,Vehicle speed,km/h,-3000,E=N
36,Vehicle speed,km/h,-2500,E=N
37,Vehicle speed,km/h,-2000,E=N
38,Vehicle speed,km/h,-1500,E=N
39,Vehicle speed,km/h,-1000,E=N
40,Vehicle speed,km/h,-500,E=N
41,Vehicle speed,km/h,0,E=N
42,Service brake,N/A,-5000,"0: Off, 1: On"
43,Service brake,N/A,-4500,"0: Off, 1: On"
44,Service brake,N/A,-4000,"0: Off, 1: On"
45,Service brake,N/A,-3500,"0: Off, 1: On"
46,Service brake,N/A,-3000,"0: Off, 1: On"
47,Service brake,N/A,-2500,"0: Off, 1: On"
48,Service brake,N/A,-2000,"0: Off, 1: On"
49,Service brake,N/A,-1500,"0: Off, 1: On"
50,Service brake,N/A,-1000,"0: Off, 1: On"
51,Service brake,N/A,-500,"0: Off, 1: On"
52,Service brake,N/A,0,"0: Off, 1: On"
53,"Seat belt status, driver",N/A,N/A,"0: Fastened, 1: Not fastened"
54,Accelerator pedal position,%,-5000,E=N
55,Accelerator pedal position,%,-4500,E=N
56,Accelerator pedal position,%,-4000,E=N
57,Accelerator pedal position,%,-3500,E=N
58,Accelerator pedal position,%,-3000,E=N
59,Accelerator pedal position,%,-2500,E=N
60,Accelerator pedal position,%,-2000,E=N
61,Accelerator pedal position,%,-1500,E=N
62,Accelerator pedal position,%,-1000,E=N
63,Accelerator pedal position,%,-500,E=N
64,Accelerator pedal position,%,0,E=N
65,Engine speed,rpm,-5000,E=N*100
66,Engine speed,rpm,-4500,E=N*100
67,Engine speed,rpm,-4000,E=N*100
68,Engine speed,rpm,-3500,E=N*100
69,Engine speed,rpm,-3000,E=N*100
70,Engine speed,rpm,-2500,E=N*100
71,Engine speed,rpm,-2000,E=N*100
72,Engine speed,rpm,-1500,E=N*100
73,Engine speed,rpm,-1000,E=N*100
74,Engine speed,rpm,-500,E=N*100
75,Engine speed,rpm,0,E=N*100
76,"Ignition cycle, event",N/A,N/A,E=N
77,"Ignition cycle, event",N/A,N/A,Subsequent
78,"Ignition cycle, download",N/A,N/A,E=N
79,"Ignition cycle, download",N/A,N/A,Subsequent
80,Complete file recorded,N/A,N/A,"0: No, 1: Yes"
81,Time from last event to this event,s,N/A,E=N*0.1
82,Vehicle identification number,N/A,N/A,Ascii
83,Vehicle identification number,N/A,N/A,Ascii
84,Vehicle identification number,N/A,N/A,Ascii
85,Vehicle identification number,N/A,N/A,Ascii
86,Vehicle identification number,N/A,N/A,Ascii
87,Vehicle identification number,N/A,N/A,Ascii
88,Vehicle identification number,N/A,N/A,Ascii
89,Vehicle identification number,N/A,N/A,Ascii
90,Vehicle identification number,N/A,N/A,Ascii
91,Vehicle identification number,N/A,N/A,Ascii
92,Vehicle identification number,N/A,N/A,Ascii
93,Vehicle identification number,N/A,N/A,Ascii
94,Vehicle identification number,N/A,N/A,Ascii
