No.,Name,Unit,Time_ms,Value table,Conversion
1,Longitudinal delta-v,km/h,0,"0xFE: Invalid, 0xFF: N/A",E=N-127
2,Longitudinal delta-v,km/h,10,"0xFE: Invalid, 0xFF: N/A",E=N-127
3,Longitudinal delta-v,km/h,20,"0xFE: Invalid, 0xFF: N/A",E=N-127
4,Longitudinal delta-v,km/h,30,"0xFE: Invalid, 0xFF: N/A",E=N-127
5,Longitudinal delta-v,km/h,40,"0xFE: Invalid, 0xFF: N/A",E=N-127
6,Longitudinal delta-v,km/h,50,"0xFE: Invalid, 0xFF: N/A",E=N-127
7,Longitudinal delta-v,km/h,60,"0xFE: Invalid, 0xFF: N/A",E=N-127
8,Longitudinal delta-v,km/h,70,"0xFE: Invalid, 0xFF: N/A",E=N-127
9,Longitudinal delta-v,km/h,80,"0xFE: Invalid, 0xFF: N/A",E=N-127
10,Longitudinal delta-v,km/h,90,"0xFE: Invalid, 0xFF: N/A",E=N-127
11,Longitudinal delta-v,km/h,100,"0xFE: Invalid, 0xFF: N/A",E=N-127
12,Longitudinal delta-v,km/h,110,"0xFE: Invalid, 0xFF: N/A",E=N-127
13,Longitudinal delta-v,km/h,120,"0xFE: Invalid, 0xFF: N/A",E=N-127
14,Longitudinal delta-v,km/h,130,"0xFE: Invalid, 0xFF: N/A",E=N-127
15,Longitudinal delta-v,km/h,140,"0xFE: Invalid, 0xFF: N/A",E=N-127
16,Longitudinal delta-v,km/h,150,"0xFE: Invalid, 0xFF: N/A",E=N-127
17,Longitudinal delta-v,km/h,160,"0xFE: Invalid, 0xFF: N/A",E=N-127
18,Longitudinal delta-v,km/h,170,"0xFE: Invalid, 0xFF: N/A",E=N-127
19,Longitudinal delta-v,km/h,180,"0xFE: Invalid, 0xFF: N/A",E=N-127
20,Longitudinal delta-v,km/h,190,"0xFE: Invalid, 0xFF: N/A",E=N-127
21,Longitudinal delta-v,km/h,200,"0xFE: Invalid, 0xFF: N/A",E=N-127
22,Longitudinal delta-v,km/h,210,"0xFE: Invalid, 0xFF: N/A",E=N-127
23,Longitudinal delta-v,km/h,220,"0xFE: Invalid, 0xFF: N/A",E=N-127
24,Longitudinal delta-v,km/h,230,"0xFE: Invalid, 0xFF: N/A",E=N-127
25,Longitudinal delta-v,km/h,240,"0xFE: Invalid, 0xFF: N/A",E=N-127
26,Longitudinal delta-v,km/h,250,"0xFE: Invalid, 0xFF: N/A",E=N-127
27,Maximum longitudinal delta-v,km/h,N/A,"0xFE: Invalid, 0xFF: N/A",E=N-127
28,Time to reach maximum longitudinal delta-v,ms,N/A,"0xFE: Invalid, 0xFF: N/A",E=N*2.5
29,Time to clip longitudinal acceleration,ms,N/A,"0xFE: Invalid, 0xFF: N/A",E=N
30,Time to clip lateral acceleration,ms,N/A,"0xFE: Invalid, 0xFF: N/A",E=N
31,Vehicle speed,km/h,-5000,"0xFE: Invalid, 0xFF: N/A",E=N
32,Vehicle speed,km/h,-4500,"0xFE: Invalid, 0xFF: N/A",E=N
33,Vehicle speed,km/h,-4000,"0xFE: Invalid, 0xFF: N/A",E=N
34,Vehicle speed,km/h,-3500,"0xFE: Invalid, 0xFF: N/A",E=N
35,Vehicle speed,km/h,-3000,"0xFE: Invalid, 0xFF: N/A",E=N
36,Vehicle speed,km/h,-2500,"0xFE: Invalid, 0xFF: N/A",E=N
37,Vehicle speed,km/h,-2000,"0xFE: Invalid, 0xFF: N/A",E=N
38,Vehicle speed,km/h,-1500,"0xFE: Invalid, 0xFF: N/A",E=N
39,Vehicle speed,km/h,-1000,"0xFE: Invalid, 0xFF: N/A",E=N
40,Vehicle speed,km/h,-500,"0xFE: Invalid, 0xFF: N/A",E=N
41,Vehicle speed,km/h,0,"0xFE: Invalid, 0xFF: N/A",E=N
42,Service brake,N/A,-5000,"0x00: Off, 0x01: On, 0xFE: Invalid, 0xFF: N/A",Not defined
43,Service brake,N/A,-4500,"0x00: Off, 0x01: On, 0xFE: Invalid, 0xFF: N/A",Not defined
44,Service brake,N/A,-4000,"0x00: Off, 0x01: On, 0xFE: Invalid, 0xFF: N/A",Not defined
45,Service brake,N/A,-3500,"0x00: Off, 0x01: On, 0xFE: Invalid, 0xFF: N/A",Not defined
46,Service brake,N/A,-3000,"0x00: Off, 0x01: On, 0xFE: Invalid, 0xFF: N/A",Not defined
47,Service brake,N/A,-2500,"0x00: Off, 0x01: On, 0xFE: Invalid, 0xFF: N/A",Not defined
48,Service brake,N/A,-2000,"0x00: Off, 0x01: On, 0xFE: Invalid, 0xFF: N/A",Not defined
49,Service brake,N/A,-1500,"0x00: Off, 0x01: On, 0xFE: Invalid, 0xFF: N/A",Not defined
50,Service brake,N/A,-1000,"0x00: Off, 0x01: On, 0xFE: Invalid, 0xFF: N/A",Not defined
51,Service brake,N/A,-500,"0x00: Off, 0x01: On, 0xFE: Invalid, 0xFF: N/A",Not defined
52,Service brake,N/A,0,"0x00: Off, 0x01: On, 0xFE: Invalid, 0xFF: N/A",Not defined
53,"Seat belt status, driver",N/A,N/A,"0x00: Fastened, 0x01: Not fastened, 0xFE: Invalid, 0xFF: N/A",Not defined
54,Accelerator pedal position,%,-5000,"0xFE: Invalid, 0xFF: N/A",E=N
55,Accelerator pedal position,%,-4500,"0xFE: Invalid, 0xFF: N/A",E=N
56,Accelerator pedal position,%,-4000,"0xFE: Invalid, 0xFF: N/A",E=N
57,Accelerator pedal position,%,-3500,"0xFE: Invalid, 0xFF: N/A",E=N
58,Accelerator pedal position,%,-3000,"0xFE: Invalid, 0xFF: N/A",E=N
59,Accelerator pedal position,%,-2500,"0xFE: Invalid, 0xFF: N/A",E=N
60,Accelerator pedal position,%,-2000,"0xFE: Invalid, 0xFF: N/A",E=N
61,Accelerator pedal position,%,-1500,"0xFE: Invalid, 0xFF: N/A",E=N
62,Accelerator pedal position,%,-1000,"0xFE: Invalid, 0xFF: N/A",E=N
63,Accelerator pedal position,%,-500,"0xFE: Invalid, 0xFF: N/A",E=N
64,Accelerator pedal position,%,0,"0xFE: Invalid, 0xFF: N/A",E=N
65,Engine speed,rpm,-5000,"0xFE: Invalid, 0xFF: N/A",E=N*100
66,Engine speed,rpm,-4500,"0xFE: Invalid, 0xFF: N/A",E=N*100
67,Engine speed,rpm,-4000,"0xFE: Invalid, 0xFF: N/A",E=N*100
68,Engine speed,rpm,-3500,"0xFE: Invalid, 0xFF: N/A",E=N*100
69,Engine speed,rpm,-3000,"0xFE: Invalid, 0xFF: N/A",E=N*100
70,Engine speed,rpm,-2500,"0xFE: Invalid, 0xFF: N/A",E=N*100
71,Engine speed,rpm,-2000,"0xFE: Invalid, 0xFF: N/A",E=N*100
72,Engine speed,rpm,-1500,"0xFE: Invalid, 0xFF: N/A",E=N*100
73,Engine speed,rpm,-1000,"0xFE: Invalid, 0xFF: N/A",E=N*100
74,Engine speed,rpm,-500,"0xFE: Invalid, 0xFF: N/A",E=N*100
75,Engine speed,rpm,0,"0xFE: Invalid, 0xFF: N/A",E=N*100
76,"Ignition cycle, event",N/A,N/A,"0xFFFE: Invalid, 0xFFFF: N/A",E=N
77,"Ignition cycle, event",N/A,N/A,Subsequent byte,Subsequent byte
78,"Ignition cycle, download",N/A,N/A,"0xFFFE: Invalid, 0xFFFF: N/A",E=N
79,"Ignition cycle, download",N/A,N/A,Subsequent byte,Subsequent byte
80,Complete file recorded,N/A,N/A,"0x00: No, 0x01: Yes, 0xFE: Invalid, 0xFF: N/A",N/A
81,Time from last event to this event,s,N/A,"0xFE: Invalid, 0xFF: N/A",E=N*0.1
82,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
83,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
84,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
85,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
86,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
87,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
88,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
89,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
90,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
91,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
92,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
93,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
94,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
95,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
96,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
97,Vehicle identification number,N/A,N/A,0xFF: See last byte,Ascii
98,Vehicle identification number,N/A,N/A,"0xFE: Invalid, 0xFF: N/A",Ascii
99,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
100,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
101,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
102,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
103,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
104,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
105,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
106,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
107,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
108,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
109,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
110,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
111,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
112,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
113,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
114,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
115,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
116,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
117,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
118,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
119,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
120,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
121,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
122,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
123,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
124,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
125,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
126,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
127,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
128,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
129,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
130,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
131,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
132,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
133,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
134,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
135,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
136,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
137,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
138,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
139,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
140,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
141,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
142,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
143,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
144,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
145,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
146,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
147,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
148,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
149,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
150,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
151,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
152,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
153,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
154,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
155,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
156,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
157,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
158,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
159,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
160,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
161,Hardware number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
162,Hardware number of EDR unit,N/A,N/A,"0xFE: Invalid, 0xFF: N/A",Ascii
163,Serial number of EDR unit,N/A,N/A,0xFF: See last byte,Ascii
