No.,Name,Unit,Time_ms,Value table,Conversion,Raw value
1,Longitudinal delta-v,km/h,0,"0xFE: Invalid, 0xFF: N/A",E=N-127,0
2,Longitudinal delta-v,km/h,10,"0xFE: Invalid, 0xFF: N/A",E=N-127,1
3,Longitudinal delta-v,km/h,20,"0xFE: Invalid, 0xFF: N/A",E=N-127,2
4,Longitudinal delta-v,km/h,30,"0xFE: Invalid, 0xFF: N/A",E=N-127,3
5,Longitudinal delta-v,km/h,40,"0xFE: Invalid, 0xFF: N/A",E=N-127,4
6,Longitudinal delta-v,km/h,50,"0xFE: Invalid, 0xFF: N/A",E=N-127,5
7,Longitudinal delta-v,km/h,60,"0xFE: Invalid, 0xFF: N/A",E=N-127,6
8,Longitudinal delta-v,km/h,70,"0xFE: Invalid, 0xFF: N/A",E=N-127,7
9,Longitudinal delta-v,km/h,80,"0xFE: Invalid, 0xFF: N/A",E=N-127,8
10,Longitudinal delta-v,km/h,90,"0xFE: Invalid, 0xFF: N/A",E=N-127,9
11,Longitudinal delta-v,km/h,100,"0xFE: Invalid, 0xFF: N/A",E=N-127,10
12,Longitudinal delta-v,km/h,110,"0xFE: Invalid, 0xFF: N/A",E=N-127,11
13,Longitudinal delta-v,km/h,120,"0xFE: Invalid, 0xFF: N/A",E=N-127,12
14,Longitudinal delta-v,km/h,130,"0xFE: Invalid, 0xFF: N/A",E=N-127,13
15,Longitudinal delta-v,km/h,140,"0xFE: Invalid, 0xFF: N/A",E=N-127,14
16,Longitudinal delta-v,km/h,150,"0xFE: Invalid, 0xFF: N/A",E=N-127,15
17,Longitudinal delta-v,km/h,160,"0xFE: Invalid, 0xFF: N/A",E=N-127,16
18,Longitudinal delta-v,km/h,170,"0xFE: Invalid, 0xFF: N/A",E=N-127,17
19,Longitudinal delta-v,km/h,180,"0xFE: Invalid, 0xFF: N/A",E=N-127,18
20,Longitudinal delta-v,km/h,190,"0xFE: Invalid, 0xFF: N/A",E=N-127,19
21,Longitudinal delta-v,km/h,200,"0xFE: Invalid, 0xFF: N/A",E=N-127,20
22,Longitudinal delta-v,km/h,210,"0xFE: Invalid, 0xFF: N/A",E=N-127,21
23,Longitudinal delta-v,km/h,220,"0xFE: Invalid, 0xFF: N/A",E=N-127,22
24,Longitudinal delta-v,km/h,230,"0xFE: Invalid, 0xFF: N/A",E=N-127,23
25,Longitudinal delta-v,km/h,240,"0xFE: Invalid, 0xFF: N/A",E=N-127,24
26,Longitudinal delta-v,km/h,250,"0xFE: Invalid, 0xFF: N/A",E=N-127,25
27,Maximum longitudinal delta-v,km/h,N/A,"0xFE: Invalid, 0xFF: N/A",E=N-127,26
28,Time to reach maximum longitudinal delta-v,ms,N/A,"0xFE: Invalid, 0xFF: N/A",E=N*2.5,27
29,Time to clip longitudinal acceleration,ms,N/A,"0xFE: Invalid, 0xFF: N/A",E=N,28
30,Time to clip lateral acceleration,ms,N/A,"0xFE: Invalid, 0xFF: N/A",E=N,29
31,Vehicle speed,km/h,-5000,"0xFE: Invalid, 0xFF: N/A",E=N,30
32,Vehicle speed,km/h,-4500,"0xFE: Invalid, 0xFF: N/A",E=N,31
33,Vehicle speed,km/h,-4000,"0xFE: Invalid, 0xFF: N/A",E=N,32
34,Vehicle speed,km/h,-3500,"0xFE: Invalid, 0xFF: N/A",E=N,33
35,Vehicle speed,km/h,-3000,"0xFE: Invalid, 0xFF: N/A",E=N,34
36,Vehicle speed,km/h,-2500,"0xFE: Invalid, 0xFF: N/A",E=N,35
37,Vehicle speed,km/h,-2000,"0xFE: Invalid, 0xFF: N/A",E=N,36
38,Vehicle speed,km/h,-1500,"0xFE: Invalid, 0xFF: N/A",E=N,37
39,Vehicle speed,km/h,-1000,"0xFE: Invalid, 0xFF: N/A",E=N,38
40,Vehicle speed,km/h,-500,"0xFE: Invalid, 0xFF: N/A",E=N,39
41,Vehicle speed,km/h,0,"0xFE: Invalid, 0xFF: N/A",E=N,40
